Catalog,Category,Category Code,Item Name,Item Code,Unit of Measure,Weight,Volume,Unit Value,Currency,Image,URL
IFRC,"Valves and taps, tap stands",118,"KIT, WATER TAP STAND, 6 self-closing taps",KWATRAMP06S,piece,40,"0.06","353.48",CHF,https://itemscatalogue.redcross.int/upload/products_data/images/medium/KWATRAMP06.jpg,https://itemscatalogue.redcross.int/wash--6/water--30/valves-and-taps-tap-stands--118/tap-stand--KWATRAMP06.aspx
IFRC,"Water and Sanitation Disaster Response",126,"KIT, CONNECTORS, for WatSan disaster response kits",KWATFITT05,piece,202,"1.221129",,CHF,,https://itemscatalogue.redcross.int/wash--6/water-and-sanitation-eru--31/water-and-sanitation-disaster-response--126/kit-connectors-for-watsan-disaster-response-kits--KWATFITT05.aspx
IFRC,"Water and Sanitation Disaster Response",126,"KIT 2, WATSAN DISASTER RESPONSE, filters, 2000 beneficiaries",KWATNEACK02F,piece,2144,"13.71473",,CHF,,https://itemscatalogue.redcross.int/wash--6/water-and-sanitation-eru--31/water-and-sanitation-disaster-response--126/kit-2-watsan-disaster-response-filters-2000-beneficiaries--KWATNEACK02F.aspx
IFRC,"Water and Sanitation Disaster Response",126,"KIT 2, WATSAN DISASTER RESPONSE, tablets, 2000 beneficiaries",KWATNEACK02T,piece,1420,"10.85",,CHF,,https://itemscatalogue.redcross.int/wash--6/water-and-sanitation-eru--31/water-and-sanitation-disaster-response--126/kit-2-watsan-disaster-response-tablets-2000-beneficiaries--KWATNEACK02T.aspx
IFRC,"Water tanks",127,"KIT, WATERTANK, flexible pillow, 5 m3, storage",KWATTANKP05,piece,81,"0.4416","1026.30",CHF,https://itemscatalogue.redcross.int/upload/products_data/images/medium/KWATTANKP.jpg,https://itemscatalogue.redcross.int/wash--6/water--30/water-tanks--127/water-tanks-bladder--KWATTANKP.aspx
IFRC,"Water tanks",127,"KIT, WATERTANK, flexible pillow, 10m3, storage",KWATTANKP10,piece,110,"0.46","1577.57",CHF,https://itemscatalogue.redcross.int/upload/products_data/images/medium/KWATTANKP.jpg,https://itemscatalogue.redcross.int/wash--6/water--30/water-tanks--127/water-tanks-bladder--KWATTANKP.aspx
IFRC,"Water testing",128,"KIT, WATER LAB TEST, bacter., + acc., Delagua Single incu.",KWATWLAB02,piece,10,"0.014","2007.12",CHF,https://itemscatalogue.redcross.int/upload/products_data/images/medium/KWATWLAB02.jpg,https://itemscatalogue.redcross.int/wash--6/water--30/water-testing--128/kit-water-lab-test-delagua--KWATWLAB02.aspx
PIRAC,WASH,,"Water filter ORISA",,piece,"2.284","0.014",80,EUR,,
PIRAC,WASH,,"Water treatment Unit AquaForce 2000",,piece,285,"2.1128",16000,EUR,,
PIRAC,WASH,,"Water treatment Unit - Dessal SDU1000",,piece,1290,"6.204",40400,EUR,,
PIRAC,WASH,,"WATER PURIFICATION UNIT, mobile, Berkefield TWA4 LIGHT",WPUBERK4,piece,453,"2.83776","13810.96",EUR,,https://itemscatalogue.redcross.int/wash--6/water--30/water-treatment-equipment--129/water-purification-unit-berkefeld--WWTUBERK.aspx
PIRAC,WASH,,"BLADDER FITTINGS KIT CONNECTIONS FOR 10 BLADDERS",,piece,90,"0.33453",0,EUR,,
PIRAC,WASH,,"KIT TOOL ENG OIL FOR PUMPING SETUP",KWATTOOLPU01,piece,76,"0.241865","558.90",EUR,,
PIRAC,,,Family Kit,,piece,,,,,,
